"event_name","event_name_analyzed","event_code","fk_program_seasons","event_subtype","event_subtype_moniker","event_type","event_venue","event_venue_sort","event_venue_analyzed","event_stateprov","event_country","event_city","event_address1","event_address2","date_end","date_start","event_postalcode","event_season","capacity_total","event_web_url","flag_bag_and_tag_event","program_code_display","program_name","flag_display_in_vims","ff_event_type_sort_order","countryCode","open_capacity","event_fee_currency","hotel_document","id","lat","lon","event_venue_room","event_fee_base","community_event_contact_name_first","community_event_contact_name_last","community_event_contact_email"
"MAR District - Mount Olive Event","MAR District - Mount Olive Event","NJFLA",247,"Qualifying Event","District Event","FRC","Mount Olive High School","Mount Olive High School","Mount Olive High School","NJ","USA","Flanders","18 Corey Road",,"2018-03-11T00:00:00","2018-03-09T00:00:00","07836",2018,38,"http://www.midatlanticrobotics.com/",true,"FRC","FIRST Robotics Competition",false,200,"US",38,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27979,40.853244,-74.708204,"",0,"","",
"MAR District - Seneca Event","MAR District - Seneca Event","NJTAB",247,"Qualifying Event","District Event","FRC","Seneca High School","Seneca High School","Seneca High School","NJ","USA","Tabernacle","110 Carranza Road",,"2018-03-25T00:00:00","2018-03-23T00:00:00","08088",2018,38,"http://www.midatlanticrobotics.com/",true,"FRC","FIRST Robotics Competition",false,200,"US",38,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27981,39.820757,-74.694484,"",0,"","",
"MAR District - Springside Chestnut Hill Academy Event","MAR District - Springside Chestnut Hill Academy Event","PAPHI",247,"Qualifying Event","District Event","FRC","Springside Chestnut Hill Academy","Springside Chestnut Hill Academy","Springside Chestnut Hill Academy","PA","USA","Philadelphia","500 West Willow Grove Avenue",,"2018-03-18T00:00:00","2018-03-16T00:00:00","19118",2018,34,"http://www.midatlanticrobotics.com/",true,"FRC","FIRST Robotics Competition",false,200,"US",34,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27995,40.086847,-75.197968,,0,"","",
"MAR District - Westtown Event","MAR District - Westtown Event","PAWCH",247,"Qualifying Event","District Event","FRC","Westtown School","Westtown School","Westtown School","PA","USA","West Chester","975 Westtown Road",,"2018-03-11T00:00:00","2018-03-09T00:00:00","19382",2018,38,"http://www.midatlanticrobotics.com",true,"FRC","FIRST Robotics Competition",false,200,"US",38,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28015,39.942544,-75.597966,,0,"","",
"Minnesota 10000 Lakes Regional","Minnesota 10000 Lakes Regional","MNMI",247,"Regional","Regional","FRC","Williams Arena/The Sports Pavilion Univ of MN","Williams Arena/The Sports Pavilion Univ of MN","Williams Arena/The Sports Pavilion Univ of MN","MN","USA","Minneapolis","1925 University Avenue SE",,"2018-03-31T00:00:00","2018-03-28T00:00:00","55455",2018,63,"http://www.mnfirst.org",true,"FRC","FIRST Robotics Competition",false,3,"US",63,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27929,44.972981,-93.237826,"",0,"","","lfshimizu@gmail.com"
"Minnesota North Star Regional","Minnesota North Star Regional","MNMI2",247,"Regional","Regional","FRC","Mariucci Arena - University of Minnesota","Mariucci Arena - University of Minnesota","Mariucci Arena - University of Minnesota","MN","USA","Minneapolis","1901 4th Street SE",,"2018-03-31T00:00:00","2018-03-28T00:00:00","55455",2018,60,"http://www.mnfirst.org",true,"FRC","FIRST Robotics Competition",false,3,"US",60,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27935,44.972981,-93.237826,"",0,"","","lfshimizu@gmail.com"
"New York City Regional","New York City Regional","NYNY",247,"Regional","Regional","FRC","The Armory Track & Field Center","The Armory Track & Field Center","The Armory Track & Field Center","NY","USA","New York","216 Fort Washington Avenue",,"2018-04-08T00:00:00","2018-04-05T00:00:00","10032",2018,48,"http://www.nycfirst.org",true,"FRC","FIRST Robotics Competition",false,3,"US",48,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27887,40.83668,-73.939944,"",,"","",""
"Northern Lights Regional","Northern Lights Regional","MNDU2",247,"Regional","Regional","FRC","DECC Arena/Edmund Fitzgerald Exhibit Hall","DECC Arena/Edmund Fitzgerald Exhibit Hall","DECC Arena/Edmund Fitzgerald Exhibit Hall","MN","USA","Duluth","Duluth Entertainment Convention Center","350 Harbor Drive","2018-03-10T00:00:00","2018-03-07T00:00:00","55802",2018,60,"http://www.mnfirst.org",true,"FRC","FIRST Robotics Competition",false,3,"US",60,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27983,46.767393,-92.11547,,0,"","","lfshimizu@gmail.com"
"Oklahoma Regional ","Oklahoma Regional ","OKOK",247,"Regional","Regional","FRC","Cox Arena - SMG Convention Center","Cox Arena - SMG Convention Center","Cox Arena - SMG Convention Center","OK","USA","Oklahoma City","One Myriad Gardens",,"2018-03-31T00:00:00","2018-03-28T00:00:00","73102",2018,62,"http://www.first-oklahoma.com/",true,"FRC","FIRST Robotics Competition",false,3,"US",62,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27927,35.471927,-97.518257,"",,"","",""
"PNW District Auburn Event","PNW District Auburn Event","WAAHS",247,"Qualifying Event","District Event","FRC","Auburn High School","Auburn High School","Auburn High School","WA","USA","Auburn","711 E. Main St.",,"2018-03-18T00:00:00","2018-03-16T00:00:00","98002",2018,38,"http://www.firstwa.org",true,"FRC","FIRST Robotics Competition",false,200,"US",38,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28017,47.302461,-122.186065,,0,"","",
"PNW District Auburn Mountainview Event","PNW District Auburn Mountainview Event","WAAMV",247,"Qualifying Event","District Event","FRC","Auburn Mountainview High School","Auburn Mountainview High School","Auburn Mountainview High School","WA","USA","Auburn","28900 124th Avenue SE",,"2018-03-31T00:00:00","2018-03-29T00:00:00","98092",2018,36,"http://www.firstwa.org/",true,"FRC","FIRST Robotics Competition",false,200,"US",36,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28007,47.283585,-122.128606,,0,"","",
"PNW District Clackamas Academy Event","PNW District Clackamas Academy Event","ORORE",247,"Qualifying Event","District Event","FRC","Clackamas Academy","Clackamas Academy","Clackamas Academy","OR","USA","Oregon City","1306 12th Street",,"2018-03-03T00:00:00","2018-03-01T00:00:00","97045",2018,36,"http://www.firstwa.org/",true,"FRC","FIRST Robotics Competition",false,200,"US",36,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28011,45.340277,-122.560941,,0,"","",
"PNW District Glacier Peak Event","PNW District Glacier Peak Event","WASNO",247,"Qualifying Event","District Event","FRC","Glacier Peak High School","Glacier Peak High School","Glacier Peak High School","WA","USA","Snohomish","7401 144th Place SE",,"2018-03-25T00:00:00","2018-03-23T00:00:00","98296",2018,38,"http://www.firstwa.org/",true,"FRC","FIRST Robotics Competition",false,200,"US",38,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28009,47.822897,-122.118251,,0,"","",
"PNW District Lake Oswego Event","PNW District Lake Oswego Event","ORLAK",247,"Qualifying Event","District Event","FRC","Lake Oswego High School","Lake Oswego High School","Lake Oswego High School","OR","USA","Lake Oswego","2501 Country Club Rd",,"2018-03-31T00:00:00","2018-03-29T00:00:00","97034",2018,36,"http://www.firstwa.org",true,"FRC","FIRST Robotics Competition",false,200,"US",36,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28021,45.410367,-122.689055,,0,"","",
"PNW District Mount Vernon Event","PNW District Mount Vernon Event","WAMOU",247,"Qualifying Event","District Event","FRC","Mount Vernon High School","Mount Vernon High School","Mount Vernon High School","WA","USA","Mount Vernon","314 North 9th Street",,"2018-03-04T00:00:00","2018-03-02T00:00:00","98273",2018,38,"http://www.firstwa.org/",true,"FRC","FIRST Robotics Competition",false,200,"US",38,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28013,48.407114,-122.324434,,0,"","",
"PNW District SunDome Event","PNW District SunDome Event","WAYAK",247,"Qualifying Event","District Event","FRC","SunDome, State Fair Park","SunDome, State Fair Park","SunDome, State Fair Park","WA","USA","Yakima","1301 S. Fair Avenue",,"2018-03-17T00:00:00","2018-03-15T00:00:00","98901",2018,36,"http://www.firstwa.org/",true,"FRC","FIRST Robotics Competition",false,200,"US",36,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",32237,46.606829,-120.465379,,,,,
"PNW District West Valley Event","PNW District West Valley Event","WASPO",247,"Qualifying Event","District Event","FRC","West Valley High School","West Valley High School","West Valley High School","WA","USA","Spokane","8301 E. Buckeye Avenue",,"2018-03-24T00:00:00","2018-03-22T00:00:00","99212",2018,36,"http://www.firstwa.org",true,"FRC","FIRST Robotics Competition",false,200,"US",36,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27953,47.660806,-117.314906,"",0,"","",
"PNW District Wilsonville Event","PNW District Wilsonville Event","ORWIL",247,"Qualifying Event","District Event","FRC","Wilsonville High School","Wilsonville High School","Wilsonville High School","OR","USA","Wilsonville","6800 SW Wilsonville Road",,"2018-03-10T00:00:00","2018-03-08T00:00:00","97070",2018,36,"http://oregonfirst.org/",true,"FRC","FIRST Robotics Competition",false,200,"US",36,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28027,45.301823,-122.762197,,0,"","",
"Pacific Northwest District Championship","Pacific Northwest District Championship","PNCMP",247,"Qualifying Championship","District Championship","FRC","Veterans Memorial Stadium","Veterans Memorial Stadium","Veterans Memorial Stadium","OR","USA","Portland","300 N Winning Way",,"2018-04-07T00:00:00","2018-04-04T00:00:00","97227",2018,64,"http://www.firstwa.org",true,"FRC","FIRST Robotics Competition",false,100,"US",64,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28029,45.54538,-122.67553,,0,"","",
"Rocket City Regional","Rocket City Regional","ALHU",247,"Regional","Regional","FRC","Von Braun Center","Von Braun Center","Von Braun Center","AL","USA","Huntsville","700 Monroe Street SW",,"2018-03-17T00:00:00","2018-03-14T00:00:00","35801",2018,50,"http://firstinalabama.org/events/frc-events/rocket-city-regional/",true,"FRC","FIRST Robotics Competition",false,3,"US",50,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28077,34.725222,-86.566317,,,,,
"Seven Rivers Regional","Seven Rivers Regional","WILA",247,"Regional","Regional","FRC","La Crosse Center","La Crosse Center","La Crosse Center","WI","USA","La Crosse","300 Harborview Plaza",,"2018-04-07T00:00:00","2018-04-04T00:00:00","54601",2018,54,"http://www.wisconsinfrc.com/",true,"FRC","FIRST Robotics Competition",false,3,"US",54,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28103,43.795836,-91.221089,,,,,
"Smoky Mountains Regional","Smoky Mountains Regional","TNKN",247,"Regional","Regional","FRC","Thompson-Boling Arena - University of Tennessee","Thompson-Boling Arena - University of Tennessee","Thompson-Boling Arena - University of Tennessee","TN","USA","Knoxville","1600 Phillip Fulmer Way #202",,"2018-03-24T00:00:00","2018-03-21T00:00:00","37996",2018,50,"http://tnfirst.org/events/",true,"FRC","FIRST Robotics Competition",false,3,"US",50,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27957,35.956034,-83.937037,"",,"","",""
"South Florida Regional ","South Florida Regional ","FLWP",247,"Regional","Regional","FRC","Palm Beach Convention Center","Palm Beach Convention Center","Palm Beach Convention Center","FL","USA","West Palm Beach","650 Okeechobee Blvd",,"2018-03-31T00:00:00","2018-03-28T00:00:00","33401",2018,60,"http://firstinflorida.com/",true,"FRC","FIRST Robotics Competition",false,3,"US",60,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27973,26.705811,-80.064783,"",0,"","",""
